,Blockchain News,Cryptocurrency,Market,Day,Date,Open,High,Low,Close,Volume,daily_variance,daily difference,Trading_Volume,price_1month,price_2weeks_ago,price_1week_ago,price_2days_ago,price_1day_ago,price_1hour_ago,price_1hour_ahead,price_1day_ahead,price_2days_ahead,price_1week_ahead,price_2weeks_ahead,price_1month_ahead
14,3997,915,11545,2016-12-17,2016-12-17 23:00:00,789.39,789.39,789.38,789.39,18.68134623,0.009999999999990905,0.0,14746.8679004997,6.696309808839739,2.9035077718238083,2.2295696677181143,1.8355945730247416,0.8753594547688681,0.0,-0.07342050963961175,-0.10503404115310179,-0.10124147356965643,-12.01038856811646,-18.999538248422347,-5.464539771502479
15,2839,874,10927,2016-02-28,2016-02-28 23:00:00,431.59,431.59,431.46,431.46,12.5,0.12999999999999545,0.12999999999999545,5393.25,12.13090437120474,5.89625921290502,-1.979326009363561,0.34302136930421395,-0.002317711954769329,-0.030130255411856363,0.09743875278395486,-1.5021459227467904,-0.4085589640606695,7.462017434620169,4.9321465051802065,4.121820551184899
16,426,168,1233,2016-02-27,2016-02-27 23:00:00,431.45,431.47,431.45,431.47,11.88759252,0.020000000000038654,-0.020000000000038654,5129.139544604401,12.005469673441956,10.417873780332362,-1.6640786149674254,1.8263146916355837,0.345331077479317,0.004635316476241373,1.819426090239767,0.002317711954769329,-1.4998630262076507,9.529611859975127,5.3444992431271166,2.207746061826377
17,3735,1210,10409,2016-02-26,2016-02-26 23:00:00,427.13,429.99,426.76,429.98,186.0223878,3.230000000000018,-2.8500000000000227,79985.906306244,8.01897762686637,10.600493046188204,2.4187171496348747,1.6256570073026673,1.4861156332852792,0.662821526582637,-0.5458666790026269,-0.345331077479317,-0.34302136930421395,5.387254901960789,2.6352222275266195,1.314797360980217
18,5037,1572,15723,2018-11-29,2018-11-29 23:00:00,4225.47,4259.0,4215.05,4240.53,174.0161429163,43.94999999999982,-15.05999999999949,737920.6745208576,-47.869016372953396,-31.415412696054513,-0.5367253621599238,11.062296458225738,0.39712017129934574,0.35514428620949484,0.9678847967084687,6.814357682619641,2.388937581943157,23.395333678641883,29.860906952814926,13.700238901535556
19,5391,1390,15425,2018-11-28,2018-11-28 23:00:00,4192.6,4237.0,4178.01,4223.69,349.5711741394,58.98999999999978,-31.089999999999236,1476480.2725008423,-48.29852569672492,-32.736540797264965,-7.646868022984653,11.678177138947214,10.707698718419199,0.7360862184487792,-0.030532688912136004,-0.39712017129934574,6.390176322418125,14.403616546404027,23.071835052988288,8.600483389900232
20,5691,1258,14542,2018-02-06,2018-02-06 23:00:00,7645.49,7865.7,7564.61,7682.75,679.4937505,301.09000000000015,-37.26000000000022,5220380.611653876,-110.21313982623408,-40.845530571735374,-30.258305945136833,-6.250235918128269,10.283817643421951,0.4849825908691578,0.8896913985554826,1.318649146221162,-6.307926829268292,-9.817034018971551,-31.442091981060514,-17.35219352458161
21,9541,3195,44090,2018-02-05,2018-02-05 23:00:00,6800.0,6949.08,6669.0,6892.67,938.2600683000001,280.0799999999999,-92.67000000000007,6467117.024969362,-149.1777496964166,-56.39802863041463,-61.55336030884983,-33.781829102510336,-18.429287924708415,1.3444717359165617,-0.8847890483448815,-10.283817643421951,-9.100775970754714,-22.554269662921346,-38.2759973206578,-30.266201010495475
22,9973,3848,41843,2017-10-11,2017-10-11 23:00:00,4813.97,4813.99,4810.8,4813.85,110.54731650000001,3.1899999999996,0.11999999999989086,532158.199533525,12.550453379311794,12.658059557318987,12.455726705235941,1.3039459060834973,1.1971706638137896,-0.0024928072125199345,-0.2501077514753603,-11.472355857645171,-14.591716522245157,-13.565006921837988,-16.159264045589595,-26.897956146518425
23,1147,465,3775,2017-10-10,2017-10-10 23:00:00,4766.8,4794.8,4712.11,4756.22,666.6994708,82.69000000000051,10.579999999999927,3170969.357008376,10.780409653043819,18.314543902510824,9.592071014376968,3.231978335737208,0.10806901278747257,-0.22244555550415931,0.4993037639009529,-1.1971706638137896,-12.532182842682909,-14.949948679067138,-13.793022197813745,-33.49329999762286
