,Day,SVI,Close
277,2016-10-04,2.2641509433962264,609.93
278,2016-10-05,2.0,612.34
279,2016-10-06,1.849056603773585,611.8
280,2016-10-07,1.9245283018867925,617.65
281,2016-10-08,2.0754716981132075,617.99
282,2016-10-09,2.0,615.99
283,2016-10-10,2.2745098039215685,617.69
284,2016-10-11,2.4313725490196076,639.99
285,2016-10-12,2.4313725490196076,635.54
286,2016-10-13,2.3529411764705883,635.44
287,2016-10-14,2.156862745098039,636.93
288,2016-10-15,2.196078431372549,635.17
289,2016-10-16,2.0,639.58
290,2016-10-17,3.206896551724138,637.98
291,2016-10-18,2.9482758620689653,634.99
292,2016-10-19,2.9482758620689653,628.97
293,2016-10-20,2.793103448275862,629.0
294,2016-10-21,2.689655172413793,630.8
295,2016-10-22,2.9482758620689653,655.75
296,2016-10-23,3.0,650.51
297,2016-10-24,2.417910447761194,648.75
298,2016-10-25,2.5522388059701493,650.32
299,2016-10-26,2.8208955223880596,671.0
300,2016-10-27,3.3134328358208953,680.0
301,2016-10-28,2.9552238805970146,688.99
302,2016-10-29,3.3134328358208953,714.95
303,2016-10-30,3.0,698.24
304,2016-10-31,3.3870967741935485,697.95
305,2016-11-01,3.629032258064516,729.91
306,2016-11-02,3.435483870967742,735.99
307,2016-11-03,3.629032258064516,686.91
308,2016-11-04,3.1451612903225805,706.93
309,2016-11-05,3.1451612903225805,706.33
310,2016-11-06,3.0,711.15
311,2016-11-07,3.2542372881355934,708.31
312,2016-11-08,3.0,711.99
313,2016-11-09,5.084745762711865,721.47
314,2016-11-10,3.5593220338983054,710.99
315,2016-11-11,2.9491525423728815,715.23
316,2016-11-12,3.152542372881356,700.31
317,2016-11-13,3.0,701.99
318,2016-11-14,6.2,707.43
319,2016-11-15,6.5,712.62
320,2016-11-16,6.9,739.99
321,2016-11-17,7.800000000000001,736.53
322,2016-11-18,6.7,749.99
323,2016-11-19,3.1,750.93
324,2016-11-20,3.0,727.36
325,2016-11-21,3.36,737.89
326,2016-11-22,3.7199999999999998,748.35
327,2016-11-23,3.5999999999999996,742.41
328,2016-11-24,3.5999999999999996,737.99
329,2016-11-25,3.36,741.89
330,2016-11-26,3.12,735.38
331,2016-11-27,3.0,728.35
332,2016-11-28,3.1,732.99
333,2016-11-29,3.0,732.92
334,2016-11-30,3.1,742.21
335,2016-12-01,3.6,753.99
336,2016-12-02,3.7,774.98
337,2016-12-03,2.8000000000000003,766.47
338,2016-12-04,3.0,765.69
339,2016-12-05,3.6206896551724137,753.47
340,2016-12-06,3.6206896551724137,758.29
341,2016-12-07,3.7241379310344827,764.37
342,2016-12-08,3.5172413793103448,767.73
343,2016-12-09,3.0,770.11
344,2016-12-10,3.310344827586207,771.79
345,2016-12-11,3.0,770.74
346,2016-12-12,4.551724137931035,779.64
347,2016-12-13,4.689655172413793,779.34
348,2016-12-14,4.413793103448276,776.88
349,2016-12-15,4.275862068965517,774.9
350,2016-12-16,4.551724137931035,782.48
351,2016-12-17,4.275862068965517,789.39
352,2016-12-18,4.0,790.22
353,2016-12-19,2.6666666666666665,790.19
354,2016-12-20,2.583333333333333,800.96
355,2016-12-21,3.5,829.73
356,2016-12-22,4.75,858.49
357,2016-12-23,5.083333333333333,915.11
358,2016-12-24,4.0,897.14
359,2016-12-25,4.0,896.98
360,2016-12-26,6.695652173913044,905.78
361,2016-12-27,7.304347826086957,932.49
362,2016-12-28,8.673913043478262,982.0
363,2016-12-29,8.978260869565219,973.59
364,2016-12-30,8.065217391304348,964.05
365,2016-12-31,7.0,974.55
366,2017-01-01,7.0,998.57
367,2017-01-02,7.358490566037736,1020.23
368,2017-01-03,6.603773584905661,1035.03
369,2017-01-04,8.113207547169813,1143.16
370,2017-01-05,9.433962264150944,1004.84
371,2017-01-06,7.830188679245284,893.49
372,2017-01-07,5.943396226415095,907.4
373,2017-01-08,5.0,913.98
374,2017-01-09,4.7272727272727275,903.02
375,2017-01-10,4.363636363636363,906.09
376,2017-01-11,5.545454545454546,779.7
377,2017-01-12,5.545454545454546,805.84
378,2017-01-13,4.7272727272727275,827.87
379,2017-01-14,4.454545454545455,825.69
380,2017-01-15,4.0,827.73
381,2017-01-16,3.394736842105263,835.02
382,2017-01-17,3.8684210526315788,906.19
383,2017-01-18,4.026315789473684,884.99
384,2017-01-19,3.31578947368421,905.03
385,2017-01-20,3.31578947368421,898.0
386,2017-01-21,3.0789473684210527,924.28
387,2017-01-22,3.0,924.98
388,2017-01-23,4.444444444444445,919.2
389,2017-01-24,4.666666666666666,883.2
390,2017-01-25,4.444444444444445,894.97
391,2017-01-26,4.666666666666666,917.6
392,2017-01-27,4.111111111111111,921.01
393,2017-01-28,4.0,921.29
394,2017-01-29,4.0,915.62
395,2017-01-30,3.3777777777777778,922.0
396,2017-01-31,3.7333333333333334,971.25
397,2017-02-01,3.9111111111111114,989.1
398,2017-02-02,4.266666666666667,1007.32
399,2017-02-03,4.444444444444445,1017.0
400,2017-02-04,4.0,1032.99
401,2017-02-05,4.0,1011.91
402,2017-02-06,3.076923076923077,1023.99
403,2017-02-07,3.4615384615384617,1055.42
404,2017-02-08,3.6923076923076925,1053.9
405,2017-02-09,4.153846153846154,988.7
406,2017-02-10,3.6153846153846154,1001.07
407,2017-02-11,3.307692307692308,1013.57
408,2017-02-12,3.0,1007.77
409,2017-02-13,4.457142857142857,1000.97
410,2017-02-14,4.685714285714286,1013.12
411,2017-02-15,4.3428571428571425,1013.67
412,2017-02-16,4.685714285714286,1034.33
413,2017-02-17,4.8,1059.75
414,2017-02-18,4.3428571428571425,1059.84
415,2017-02-19,4.0,1054.72
416,2017-02-20,4.625,1085.13
417,2017-02-21,6.0,1133.68
418,2017-02-22,6.125,1128.54
419,2017-02-23,6.5,1181.02
420,2017-02-24,7.625,1183.72
421,2017-02-25,6.0,1148.77
422,2017-02-26,5.0,1182.03
423,2017-02-27,5.52,1194.5
424,2017-02-28,5.64,1195.2
425,2017-03-01,6.4799999999999995,1228.9
426,2017-03-02,7.56,1260.21
427,2017-03-03,9.12,1287.98
428,2017-03-04,7.319999999999999,1270.0
429,2017-03-05,6.0,1273.99
430,2017-03-06,5.3061224489795915,1288.88
431,2017-03-07,5.612244897959184,1236.29
432,2017-03-08,5.714285714285714,1151.39
433,2017-03-09,5.714285714285714,1197.2
434,2017-03-10,9.183673469387756,1109.29
435,2017-03-11,7.142857142857143,1182.64
436,2017-03-12,5.0,1232.63
437,2017-03-13,5.0,1246.85
438,2017-03-14,4.444444444444445,1248.2
439,2017-03-15,4.537037037037037,1261.75
440,2017-03-16,5.0,1175.29
441,2017-03-17,5.092592592592593,1070.6
442,2017-03-18,5.7407407407407405,965.1
443,2017-03-19,5.0,1010.63
444,2017-03-20,4.425531914893617,1041.61
445,2017-03-21,4.170212765957447,1113.81
446,2017-03-22,4.25531914893617,1037.97
447,2017-03-23,3.9148936170212765,1033.0
448,2017-03-24,4.170212765957447,936.83
449,2017-03-25,4.0,966.76
450,2017-03-26,4.0,967.14
451,2017-03-27,4.842105263157895,1045.01
452,2017-03-28,4.842105263157895,1045.04
453,2017-03-29,4.421052631578947,1041.03
454,2017-03-30,4.2105263157894735,1041.75
455,2017-03-31,4.315789473684211,1084.22
456,2017-04-01,4.315789473684211,1089.99
457,2017-04-02,4.0,1107.45
458,2017-04-03,4.3809523809523805,1152.94
459,2017-04-04,4.095238095238095,1149.03
460,2017-04-05,4.0,1134.73
461,2017-04-06,3.9047619047619047,1195.77
462,2017-04-07,4.3809523809523805,1194.67
463,2017-04-08,3.5238095238095237,1184.5
464,2017-04-09,4.0,1210.08
465,2017-04-10,4.315789473684211,1210.64
466,2017-04-11,4.7368421052631575,1223.76
467,2017-04-12,4.947368421052631,1218.12
468,2017-04-13,4.842105263157895,1177.88
469,2017-04-14,4.2105263157894735,1175.5
470,2017-04-15,3.789473684210526,1174.69
471,2017-04-16,4.0,1178.01
472,2017-04-17,4.2,1193.81
473,2017-04-18,4.4,1204.0
474,2017-04-19,4.3,1211.45
475,2017-04-20,4.3,1238.45
476,2017-04-21,4.4,1250.0
477,2017-04-22,3.9000000000000004,1247.66
478,2017-04-23,4.0,1247.83
479,2017-04-24,5.08695652173913,1255.71
480,2017-04-25,6.0,1282.56
481,2017-04-26,6.6521739130434785,1294.91
482,2017-04-27,6.782608695652174,1346.04
483,2017-04-28,6.391304347826087,1347.19
484,2017-04-29,6.0,1351.08
485,2017-04-30,6.0,1362.63
486,2017-05-01,7.619047619047619,1440.82
487,2017-05-02,8.38095238095238,1464.94
488,2017-05-03,8.253968253968253,1517.95
489,2017-05-04,11.174603174603174,1550.0
490,2017-05-05,10.285714285714285,1546.93
491,2017-05-06,8.0,1580.99
492,2017-05-07,8.0,1602.17
493,2017-05-08,7.305882352941176,1686.39
494,2017-05-09,10.16470588235294,1719.51
495,2017-05-10,9.31764705882353,1793.26
496,2017-05-11,10.058823529411764,1834.1
497,2017-05-12,10.588235294117647,1694.64
498,2017-05-13,10.588235294117647,1781.71
499,2017-05-14,9.0,1794.01
500,2017-05-15,20.583333333333332,1742.67
501,2017-05-16,16.88888888888889,1769.71
502,2017-05-17,16.36111111111111,1812.57
503,2017-05-18,15.305555555555555,1895.55
504,2017-05-19,18.47222222222222,1965.01
505,2017-05-20,19.0,2044.4
506,2017-05-21,19.0,2026.0
507,2017-05-22,17.355555555555554,2101.33
508,2017-05-23,17.11111111111111,2261.22
509,2017-05-24,18.08888888888889,2436.45
510,2017-05-25,24.444444444444443,2330.84
511,2017-05-26,18.333333333333332,2267.37
512,2017-05-27,13.933333333333334,2096.77
513,2017-05-28,11.0,2230.77
514,2017-05-29,14.4375,2284.3
515,2017-05-30,15.125,2197.33
516,2017-05-31,15.8125,2303.62
517,2017-06-01,15.125,2412.34
518,2017-06-02,13.0625,2484.04
519,2017-06-03,13.0625,2554.91
520,2017-06-04,11.0,2520.05
521,2017-06-05,10.883720930232558,2689.43
522,2017-06-06,15.906976744186046,2880.23
523,2017-06-07,14.232558139534884,2690.0
524,2017-06-08,11.720930232558139,2800.0
525,2017-06-09,11.441860465116278,2807.01
526,2017-06-10,10.883720930232558,2903.77
527,2017-06-11,12.0,2960.0
528,2017-06-12,16.3125,2656.3
529,2017-06-13,12.9375,2716.06
530,2017-06-14,13.21875,2459.56
531,2017-06-15,15.75,2416.16
532,2017-06-16,12.65625,2484.64
533,2017-06-17,10.40625,2638.24
534,2017-06-18,9.0,2519.87
535,2017-06-19,10.451612903225808,2594.99
536,2017-06-20,11.612903225806452,2734.14
537,2017-06-21,12.193548387096776,2645.1
538,2017-06-22,11.322580645161292,2689.58
539,2017-06-23,10.451612903225808,2684.63
540,2017-06-24,9.0,2572.96
541,2017-06-25,9.0,2497.6
542,2017-06-26,10.37037037037037,2415.62
543,2017-06-27,11.148148148148147,2573.77
544,2017-06-28,10.37037037037037,2554.97
545,2017-06-29,8.814814814814815,2549.89
546,2017-06-30,7.259259259259259,2456.01
547,2017-07-01,6.481481481481481,2416.12
548,2017-07-02,7.0,2507.84
549,2017-07-03,9.0,2540.94
550,2017-07-04,9.0,2606.64
551,2017-07-05,9.333333333333332,2625.06
552,2017-07-06,9.333333333333332,2605.53
553,2017-07-07,9.0,2493.79
554,2017-07-08,8.666666666666666,2547.77
555,2017-07-09,8.0,2501.02
556,2017-07-10,7.894736842105263,2329.4
557,2017-07-11,8.68421052631579,2305.05
558,2017-07-12,8.68421052631579,2383.82
559,2017-07-13,8.157894736842104,2343.48
560,2017-07-14,7.894736842105263,2213.01
561,2017-07-15,8.157894736842104,1967.34
562,2017-07-16,10.0,1904.0
563,2017-07-17,10.363636363636363,2229.07
564,2017-07-18,10.636363636363635,2304.36
565,2017-07-19,9.818181818181817,2264.29
566,2017-07-20,11.181818181818182,2889.98
567,2017-07-21,10.636363636363635,2661.99
568,2017-07-22,9.0,2838.07
569,2017-07-23,9.0,2761.45
570,2017-07-24,12.419354838709678,2758.5
571,2017-07-25,13.129032258064516,2558.27
572,2017-07-26,12.419354838709678,2524.52
573,2017-07-27,12.419354838709678,2662.99
574,2017-07-28,13.838709677419356,2786.19
575,2017-07-29,11.0,2706.14
576,2017-07-30,11.0,2749.99
577,2017-07-31,12.666666666666666,2871.27
578,2017-08-01,21.666666666666664,2730.0
579,2017-08-02,16.666666666666664,2703.44
580,2017-08-03,12.0,2783.43
581,2017-08-04,10.666666666666666,2844.99
582,2017-08-05,17.0,3252.34
583,2017-08-06,13.0,3218.73
584,2017-08-07,15.716981132075471,3391.48
585,2017-08-08,15.716981132075471,3421.11
586,2017-08-09,15.075471698113207,3348.99
587,2017-08-10,14.11320754716981,3421.45
588,2017-08-11,11.867924528301886,3639.99
589,2017-08-12,14.433962264150942,3863.3
590,2017-08-13,17.0,4046.34
591,2017-08-14,22.285714285714285,4318.3
592,2017-08-15,22.285714285714285,4154.84
593,2017-08-16,18.2,4340.01
594,2017-08-17,17.085714285714285,4284.45
595,2017-08-18,15.971428571428572,4102.48
596,2017-08-19,14.114285714285714,4145.11
597,2017-08-20,13.0,4049.98
598,2017-08-21,16.5,3993.87
599,2017-08-22,21.0,4093.28
600,2017-08-23,20.0,4147.1
601,2017-08-24,18.5,4313.21
602,2017-08-25,19.0,4371.25
603,2017-08-26,17.5,4371.25
604,2017-08-27,14.0,4340.88
605,2017-08-28,11.2,4379.97
606,2017-08-29,14.7,4589.99
607,2017-08-30,13.649999999999999,4583.85
608,2017-08-31,15.049999999999999,4736.28
609,2017-09-01,16.799999999999997,4924.0
610,2017-09-02,16.099999999999998,4642.85
611,2017-09-03,14.0,4607.47
612,2017-09-04,27.428571428571427,4278.86
613,2017-09-05,26.285714285714285,4393.0
614,2017-09-06,21.71428571428571,4609.17
615,2017-09-07,20.0,4623.19
616,2017-09-08,23.428571428571427,4346.24
617,2017-09-09,17.142857142857142,4325.17
618,2017-09-10,16.0,4243.48
619,2017-09-11,12.727272727272728,4209.69
620,2017-09-12,14.181818181818182,4155.55
621,2017-09-13,20.0,3855.01
622,2017-09-14,25.454545454545457,3242.63
623,2017-09-15,24.363636363636363,3709.85
624,2017-09-16,14.90909090909091,3715.38
625,2017-09-17,12.0,3716.46
